location,title,website,description,rating,images,phone,image
"C, Residence Majorelle, 6 Rue Al-Farazdaq, Tanger 90060",Edenz Spa Tanger,http://edenzspa.com/,N/A,"4,7",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSykIs61fOIR_ql8FNKCM6HwasCk1PxfQLpGbVEZZwFkLZ7M-KuPpAxWgNcOac6gKJdPWrXrjhur1je9-PAD3Y7sPNVYrOF7fGTeYN5d_6TulXIir0oj1GjewuuoGX6jO32E9IrQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwO5dpIsTTOXDBpGMUh-vdtI7Pajr44aRSsxbPPgQg6aMavcqZ6QOPf9acOdeOgeeAiuP0KLoAqxOwR5h-zzh3N0OUjavqihZhS5Wfl8UDCaKuIFtYiKIoAPn-J0iUhMzj3JFtM|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSylvNkPXbS5DuP7fckhZoxH07UfoA6GOsDGwiKr2rtOru_pEomtKkfyRHBEpAMypAbEHp5crEBNGt8oEK8OpFu3wibhRaoaWgeYA5LCzhXzqvkDikKhU3E8hDigmi39opMHa-_u|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw1WzptSp2t-PW5o3Kjl5QUrDEJTmy-EGPlTfgE9rbr3nuz3gk4jiHefZX3jBUSarLRQbQhAeOTly1VCGplu7PUYkXoQqvCKR7yj02pPGN8OyDludHLgL4iFcdChnUHv8azX6eO|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzUWExAgpfwTo4eHczO1EybUCzoKeaQMZNtyeLwaajC99uGGy8y3LTtsnAzDBjrKFEgdtJ60XSLnPBI8QUO8AXKSbAFWFVriUeheo84EqBnHPL0vkgf6Cy4wXLSNls7Pbwa2T5EfAQGXhTF|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwyO2pnZQQn3mM0lbcEnaXlq13Hq_KhFiMbe_bo8fg8iOLErXx--V29GINMFpx3hHV1Pl0nvBw6CqcoWf7yGo83OXhhTvIx-ajVv3rl71RLYaxlD5IVy43I9tz6Ewl--Q1McO1v|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxEkGHYAu3v9rFwqJajjtjatkBRtuntxmTy7rue0sKzx8AzZWy8TevFr3hj1MTuHkZ8bb3SmN1rMXaSqYaMhSshL9mdjHIxq29wpH4xk38D-cAezqggxlj45KbKoTcSguUJ-Th74A|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxim3cHswzP3BENjP_1V_rxOMstVeskiE6ZGZ_MFrZSJjhYy-hx4wiDhcnphDV5En8WpT4sH76-vtEqqUab-8MkD-MRG85nIJqUWnfCQakOeAkOHWZIt6gs1qD8G5bhapzUsnM|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxeEGbCtmw8eU9Vfp18XXaVicOV7-cf2wE14Jd20_zRNgOMWQP966SFpP-9Cd7uhzCwuLTNHdkL79n87Enebyp9mz4HfSWJEYkPShBUyl-3FaA5_eBV3jDd7z9vItkpYwr4At5P|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzzNQGBXWKbjzevM2kkhv4n3F5BiWlErPROu_yizmOovLlVKtLmxuQTwZQD7pbdBQ44ZBy3p_8Gy8yQthZldD30qby2f_1cbqDAxmX2_OehI_l5CJjyFa7RV3ekuedWg6LGDat1|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzEpafJ10q1g8GfmlF1RNMAzuj3CSmDsnYGa-ToloTOIgRdv_QCl4Hk6yPDXPVj46017nebVYO3s0iEyR0EChfM6JG8YOyl6gC9M8Ecfz5Jjxrjo3Dc9GpaIuh_h3UtjtdBlcjf3A|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwaX7OclEvCUFz-beNN464FburS3WDfYHRbWM75HrvCM9Ex-P84oHSZTRKfD-G1-2mdtpBtaL3RlYxyHDFu5uVup097rZjHX--xPubDECb1U8CVLG-Pbi0p0b0ymuE3fytdvWdd|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzVAJxtZQTLZXJdjv_Sml7PPyJuIGsEhI1ufh_jv8DysQSQKBC6NioDzjI8V0xJtJCxm4OrJyxp-rLL7bWyKiSW2lH9A2NwOVsEHk3TxEYN24Bk1Yz0dR2L1SyIzMk1kOCPgO33Lg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxzU1bs8r8yj39UE-jDRu_-2CnjIGUlZAycrLQ3yPEt0hkBFva-1HcJKqpLtI-nOp3kqFC_dKyGvGAbcwQsT4xaUnjhdvLaPR-L-FW6iKO1MQ8Wx4dpei94embvhIgPKuqUh_4|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwRbI1dttozbXacCdSBnRU8nSasBljHlzgmGIuFpbaa-40QMLqvPQfbKpzvhlgj2VAs0pLdHQLT6z_kOoBaUtJZBpux-n093zoHajQTfLpDOXOo-U8sBlryugydP3DRZWnWrac|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxWM_ywYDYvs0CLVB2RiPWq01HttMERzBJ-XgeahDZC687_FZ_1Mgqugso4a2E8OzNE0AFySXjmdr0gajNFo25sMw3SvXZN4PkIRiqGbErIqOiVmvW1nl2iFTRcAsk2hf4YhZCS|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwXA3W9rKCSukxO_b5M01QBLH93VhJH3tbuQu8RzDnIlNGtJ4xJx0naZJyVzayr9pHfrBDSKq6rf1MMV85eDpPZgigsspheGZ7GG5aSjC39bUG6EaBAftRaAghaTTyOJq5_v4jixA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzVQerTdWABApr9PNC6TAZKrbEMdq-IyTahdV5M5W89hmvyI5WXIQEUJufnsAJFG3iOPpagUm3cRpb1WF4K8cLeU7rwvKxJS1YrGZApSBf88kmUJYb_daquv_stQgD5owmosM4v|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz4WntF6l4Cs_UID9-Lw_BbpQrBYc5HZC7GFw16cxTHDEnc9VvJvkUbrQnfzGpo68xCi23IfzNiTVqZGX0poFKdEVekRRvCxTrpu2eZrtj6dH1I0xcUohl8VK1gCQXYREo_JZ23|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwlxHgRj5IgOzjdhhoRTK9upqTbRN7Mj5oIkfJ3yow23WWinl9rtQqN2Yd2fI5RbRy9p7QwoKhPCaYq0dEB_Nou8_hALIjrljPecE9VVTpCmyygvqUAiiJCvukb5bXuJv20jPqIvQ,0661-849467,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSykIs61fOIR_ql8FNKCM6HwasCk1PxfQLpGbVEZZwFkLZ7M-KuPpAxWgNcOac6gKJdPWrXrjhur1je9-PAD3Y7sPNVYrOF7fGTeYN5d_6TulXIir0oj1GjewuuoGX6jO32E9IrQ
"Q6CG+FRH، زنقة شاطئ قزح, Tangier",Hammam Chatt,N/A,N/A,"3,8",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzFvf_uDP_H6xxKCyuWyBnXasDOlT4PSQbRrlNfLlHrTaxtJJL_QDC5FjxIL96EEM77LR2SHep2332tJoeGJ6ZF2RFr35VkOeLa8p5XbngNW6zaoZR1Z9zun-rYrej8SH5tBDGPbQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzv6GtRFKlj_0_HQ_mVc72PmoDy1aKtwQZoWdd49PKPwRIBJJChQU9np4cxDTTxLbmeY3iASJP276iV06xa7_7XhhyaRkvK42SLbi7Ty8Asj6RPrzhKfQTF72cGscuOJq4c1dxL,05393-02154,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzFvf_uDP_H6xxKCyuWyBnXasDOlT4PSQbRrlNfLlHrTaxtJJL_QDC5FjxIL96EEM77LR2SHep2332tJoeGJ6ZF2RFr35VkOeLa8p5XbngNW6zaoZR1Z9zun-rYrej8SH5tBDGPbQ
"ap.G، L mouna، lt . 42 et . RDC, Tangier 90000",Cristal spa Tanger,N/A,N/A,"4,4",https://lh3.googleusercontent.com/p/AF1QipNKrq4QTzUTI6i6IPv8ipA4PPiggTWrb7Zfwuc2|https://lh3.googleusercontent.com/p/AF1QipOw3B5m_IVYZFmx7_fGNu3978Z6bg74-EQHhiDB|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxUt3NwFoRxHNNbBHMSS7hOEsyvzmt52INxULW2XilPNw50ireSeRvgXYQz8_whhIBw6r6XkF91dL7_Ojcnz_J4RiZuP21vKYkC1YOQpkfUqC4vPCaIw9cbvPawYYLMgwBQC-co-A|https://lh3.googleusercontent.com/p/AF1QipPTjC3qXJmzTrI9LsfKGiZKbgNUG0GmqbMQxNEr|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzAUi4Nk_7PlnxHZuDiB5UvMJlee49kZBrTUo6PgKuzJtwpNTSriR-b_chOqGcMgo5_zIxXJ8nzaZkoJxwWOFlOpSO7WWpEqE7ZUHCpEM1xtVtYDBlXJdPDf3N3heCPRmq5QIWQ|https://lh3.googleusercontent.com/p/AF1QipMDqLEA0IWp3XLkI9spoyOs3A0bQHk19rgDBEm-|https://lh3.googleusercontent.com/p/AF1QipMbpI-2GNnfOD-HZhl3zN_HPS6lCU3w-BNjd4bY,05394-29182,https://lh3.googleusercontent.com/p/AF1QipNKrq4QTzUTI6i6IPv8ipA4PPiggTWrb7Zfwuc2
N/A,Basalte Spa,N/A,N/A,N/A,,0606-160165,N/A
"Rue Mimousa, Tanger 90060",Kenzispa,N/A,N/A,N/A,,0660-636467,N/A
"124 Av. Habib Bourguiba, Tanger",Mary Belle SPA,https://www.facebook.com/marybellespa,N/A,N/A,,05393-36408,N/A
"Av. Aicha Moussafer, Tanger 90060",سلام,N/A,N/A,"3,7",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzT3gS42pimU2WEDLeMxQdfmNDcLcKBkY-6tBKepwTGFwne8weOkLYYK5qBZcUuXvpcxV2CUw-6PgVWCleDL2WcOnX3BZ-Ct8UVu42mzNtKzdZeq8PKUep7oSKKz1Sz9LUpKPcc2m3oG7y1|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxezW2h5hZ9ebrg6NQBkvI15aU0tZYzo__UX0gIppHEOkbPeGS3VWhkpP1j_l7f8LUCfHmy11W81YcpPcs31I_GL6OOyUdH3qACNteRRr3RQsf3vnk6t7XSBaOt2hHJoik7WWl5-w|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxSV6l_TbcbWjG1x0CjB3u31GYsBhm2zxZgdXdoNe2I9rFHUvNhUL5kewDVUJB22TqbQpIuMV0E1P0SQWZ5z5KIoP--snwvBmjaLD4SxgH97DQ87afwuY3WHd97SHSr-iLbBfutTuX_uQo|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxn_J-5-YOUt-0hCweFFaL0Mkc3Yv-puzw3ZKOGDjNjrEEjyO8jD2x3tlC0R3X3qznkC9SgKLd55kcbIWj1RbheR0WYtEmA1S1rU-Ctl2uX9B40kHuS4nfEVGcdDakgpWWBcTGa|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwSUurLZ-UD5u55Nbu4MF4TOUuhkruS_uTOstfsPSnlPsOJNXNiXl8WRyflwwebYov1KT7zURBktRhKPvmXIpO9lGVBST00uSoI3oCR9EvIh7DaEF1U7S4klauee00QKO20zB64LQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSymgP_uml7xxYl-9NQEaI19yD7zw7R0pMjVeiBkd8eqsyPd_-GLJ8zllX8ulImltas3ZW_1L-KcPdD87VrK8qlI9SgU_jXOhgjf62MHtkXgCno12rE31oN36dlJXHvcPvj5Wsh-oQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxYaeH5YkfZuLBPiDY0YAb3sZYBL77WXsDRIpUoM9hwE5FxQy7aCii73q776QD_MZbY9WzQq2JfkiMXDemxLxSpG1BzqYIqBUFrRkBIdjs8IXQQLmR_C2ZZskFoE0ndfZvk648xBigNPOZ1,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzT3gS42pimU2WEDLeMxQdfmNDcLcKBkY-6tBKepwTGFwne8weOkLYYK5qBZcUuXvpcxV2CUw-6PgVWCleDL2WcOnX3BZ-Ct8UVu42mzNtKzdZeq8PKUep7oSKKz1Sz9LUpKPcc2m3oG7y1
"55 bis Av. Marrakech, Tanger 90060",Diamonds Beauty Spa - Hammam Massage Coiffure 100% femme - Tanger,N/A,S'identifie comme géré par une femme,N/A,,05399-54854,N/A
"Ave Mohammed V, Tangier",Bride Spa & Beauty Tanger,N/A,N/A,"4,9",https://lh3.googleusercontent.com/p/AF1QipONkHO9DmCJFXcDaXlZvEkgmbDe1IUO50XjoKIp|https://lh3.googleusercontent.com/p/AF1QipNOXMC2Rie8fEmPLDNSap40BcvNO0x5MgZ6ux-c|https://lh3.googleusercontent.com/p/AF1QipMWe4kc3L3IQUQ4G-kvt8m7hhtf9Zab4E30LH8O|https://lh3.googleusercontent.com/p/AF1QipOTVJB9QydbN1CYVGBr61kF72IZtXl3LUt8bIoW|https://lh3.googleusercontent.com/p/AF1QipPtiS-A4qaKZF9Rz4D0OxIgwvM4LNdfrJG0dMN-|https://lh3.googleusercontent.com/p/AF1QipNLSQfOP5ygZOpSDrCoLwiGU5Zb-jjClACk25_c|https://lh3.googleusercontent.com/p/AF1QipMaNhmvUWLFHY9xmllK8QDqo03pruQxC5Uzr2df|https://lh3.googleusercontent.com/p/AF1QipMYRk-Mt8XT5DFR71zV_JyxfeAuDBRALTlGN61i|https://lh3.googleusercontent.com/p/AF1QipPzaz-zvtmWd7Xf0XJ6VTsEsKDowHLS-D-7qzhd,0630-017575,https://lh3.googleusercontent.com/p/AF1QipONkHO9DmCJFXcDaXlZvEkgmbDe1IUO50XjoKIp
"residence tajmil, 5 Rue Abi Dardae, Tanger 90000",SPA & MASSAGE EZEL TANGER,http://ezeltanger.com/,N/A,"3,5",https://lh3.googleusercontent.com/p/AF1QipMG7RH8nxLIYq0t185-Toioj7S1PqFSOi8HNyaH|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSytr9KNdpfIhJYDVEeRSgnaKkchmMY0lS1Ks55S6b-9RAa8dpRoo3u9cCmh1fo1i8I2_03nsXpsWUju6bM2pJptwH1GoCvs74_5lmIVcLwYa3YbfaPH9THv6qdSrw8YRLLQQNX7voLGeH2_|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwWzEZrsiZu2H-sbKbhT3ns_PzfW8WqnJFKORXiwIP_s9Aa2S5z4nQ_aMlPeRoLubSdTg40sUxZi8Pk7_93jIsn0jO6Ba-cNXVYCjP2c-EbhNqhR9w0qiZVqb1RcTMaAOhZcMj8WRv0kfpa|https://lh3.googleusercontent.com/p/AF1QipOVzooadUyeklxc3RKYD7P8L3ahcYJd1h4uvmyJ|https://lh3.googleusercontent.com/p/AF1QipMtaw0bzzLr-S_8i0KONvoBzquVZSiZ-1GP1p5x|https://lh3.googleusercontent.com/p/AF1QipNg2VOknYqLA8GcQQEGmc67NPxr2MgqT7HmEDBk|https://lh3.googleusercontent.com/p/AF1QipPhLnrqc3WN9d8SRiyo_E6T8Lg1IRfsId_V9PG9|https://lh3.googleusercontent.com/p/AF1QipNec3u5dydNqUO26xHMuAMjdCQH4Bb4AaZsbSKm,0531-246200,https://lh3.googleusercontent.com/p/AF1QipMG7RH8nxLIYq0t185-Toioj7S1PqFSOi8HNyaH
"Rue El Ouchak, Tanger",Maison Jouhaina,N/A,S'identifie comme géré par une femme,"4,3",https://lh3.googleusercontent.com/p/AF1QipM1okUgYUa4Al_rHLf2Cg3dZ84LGTeDRbee4M7D|https://lh3.googleusercontent.com/p/AF1QipOh-n5RWYDYOMCelD8iTjP7_NXXfmhnB7a6X6mm|https://lh3.googleusercontent.com/p/AF1QipM7BUwpoLAoDf94Qr5xEWJY3zYwOFSb3KOV_Mm0|https://lh3.googleusercontent.com/p/AF1QipO8r13d8qaXoZ2KoPobUicgZ4Tf0c2AHVCoEMha|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzIrARONSvcIAKc4dPBmNopO-YCcJ0X4RzYi_orSYDZtkl3S_WkgjN9QpAC718t26yGzDiVVKOfMv946Eqo-XoPy0JhPsZtdKD9krE6wbOjVyBFtcIwqNTbf-U5W2TiO_PRVP0|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyGw4VvGIZzMOXeMYYjnquXRXvtxqOkH5ngk5hU8B3pdWiMO-dAI6Ke564eCpqSXIj-llglKPTGPwbvnQ3X-mYcYBCwYg1vyKkuMk5F395cvK2wG6ewjTey-s7TaLR4VtN0OgB2|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxXAqCh_AOlhb0g1pcAxfG4MGvjwSH7VFvQrvHS_VDbYZxIkZW2QiW4TZPDD6f_MzlX0AG26TgY2kZb4CnDIFaiQXwBl0hdTvO9A4jxARR3FmGCzbPA-WgdycDjDCDgoATaRrML|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx1VhfkniIvcJ81vgQVNDD1TOz6Dpw1YwjRUoBqIm5T7CIusH6HpWj6y7S5oykUVjSfSQpVsij2wIINRWb0aPlqj-m5ySm-x5Ts1chv-Azow06zRg5udwHJfsSb29qHO6Zt-eJQPqmTTFs|https://lh3.googleusercontent.com/p/AF1QipNAuWYRnHvXTVy-Lj66GoI3DVir8_bsscWq4uMo|https://lh3.googleusercontent.com/p/AF1QipPzg44KQV8NWdoG8ZYr4gfNKscjtttGejlbnysY|https://lh3.googleusercontent.com/p/AF1QipOF4RUBISi1uYpnd8jzT6DFnwCKrvRqPwrJuolj|https://lh3.googleusercontent.com/p/AF1QipObHTuTdMaq7nqP_8XZI1pjUdVZe6PI5A8NEZrf|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy2YHTLQa2YjzcnjHPovrYMjXBcxMdTLYVyrFQrGEb_NKTQoNJNim5OvqG28VKmxElMCDoyZhMIFypcEJkqfsVnNrf7PhJi71AX9BeMOocvChdmE11sxrI7I8a255rQ-NJmqNQkQQ|https://lh3.googleusercontent.com/p/AF1QipMYdIXi264-GtWVtX-TYHGr0RnzU62oObx4qmSe|https://lh3.googleusercontent.com/p/AF1QipOChKBtbc3Dn-mOdQzaDS5LQqg0S8p9wep2dL_O|https://lh3.googleusercontent.com/p/AF1QipMgipEAf0LBbXSc6lcTbTYZ9Vt8228SIV9iDlSf|https://lh3.googleusercontent.com/p/AF1QipOEmNIK6qWRvlnjpV5PKE-pmA1KF0evqX_L6hXN|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxRuKyleAi0lCUv5gzTao2I_cYEsPuSQgv13vBFZyDtStYESPC-ukP8l3xmegZVqAglwUxScy3ph4JVYxnP1GopkevMMJbX9t2Z4TcnF2BPnJLP74r0siwGbaPeorF4_-oIfTGAhUj__mxi|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyQRMaZC6cCNP_PIOBfvmbTpFTBDawmUi2DskfywNVZ7cBPuoGHtv5nZbdYpd_3qu-KD7XQjlUL2Sj7FmSAMC7IMIJJL_UZX_TWopU0VMOqqQC8ysQ2nMW_W1IkfKRoZp8TQ-YxFGnX509p|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz3Z7Pz3T9SKG3SHU_2u55emkcbXe7tKd7FZGk_NPNiQ856IBTDeaPTZciwmgTJ8uKBNN-L72y5ARumim6ruMp4qJZF6WtK8n9quybGnJSi0bPBa8SG1oFd_MgtDCbIMb65rLcyrXd56iCS,05399-34427,https://lh3.googleusercontent.com/p/AF1QipM1okUgYUa4Al_rHLf2Cg3dZ84LGTeDRbee4M7D
"171 AVENUE MLY RACHID LOT SOUANI 4 VILLA 1, Tangier 90000",Victoria,http://www.facebook.com/victoria.spa.and.beaute/,N/A,"3,5",https://lh3.googleusercontent.com/p/AF1QipNiUpUMz2Z5IMm45zY-JM6Y9Q3HPeBjYgDL1ZPh|https://lh3.googleusercontent.com/p/AF1QipN7NWquZTcd9sLSogbjwQvc8DTFSAL6nWryKisZ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx_RLnwzNEElG_qjAoIDhw0yT-hAqyTpM4e98hSu_kuuV8MLhlzkZZPcbsTUHYfetVg_BtQ9R1KSey59kjZ87k1RGMfVQR7kvgYFC_zLHB6ihhRGy2TeUQGXLo7GV0mzVXmaSiJEv_ddu3D|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw70CtoJyzQIMCbaBoIfb8COlRPl4RHZg1Q6_0LgdzMNmtNTNXmTtXZBkA7pbNK0814ptTj29mWU--4lpKfh0u5Om4Kta8055Jm8mqzGsbcT6FhE38Qp3lyoEL7OLtHO7mEKMMr3zRVpM_Q|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxV9KMsMeeBQ0VlFJ3mf52Gi478OLE1C5VMiQQ64OBkOlP21nOS3aZUIbnKV5oqvRx2JJ150sZyf714-Hj-qC3E6gTLvWjXNtLyeH10wPynJ2IX68bi8zkMX3Tjehw8DEKKz8uC|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzCW76GT7DcQnGTpuZnpmNKeZIXeAWk6tSvkU2g101p_TwlJyGWmICWjvXayueMJcNx1Zf4ik9loRd88OEopwuV8tEStzbfY4Z0R2bKN9ksbei2h6By7UL23fD5MOjW-os4KOHV|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyBXe2hhdaj_yi3vct0g7kaauyHp25u0JqHw_IlzsUt51Dq9qEr5TKEgKGFjEJ8r7rb08de7Zs0t7uQjYZyBNvX7q-g_5erVBwtLhItDiYyVc1xGmfxu_60AU-enIExF-a9RA6nGw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxhxl5cdAy6dX6k0e2Dmz3zarJ2ao0xJn9kNnAh-Hi-dfXXd-9nDdDHIOpaSCbPKQMV22iDe_-8ArI1IdlsOsmGZIi4KAKliVSJeGvdkGfG00neiuJaSqMIOI5yw0gWwRKqmOc,05394-28584,https://lh3.googleusercontent.com/p/AF1QipNiUpUMz2Z5IMm45zY-JM6Y9Q3HPeBjYgDL1ZPh
"6 Rue Mohammedia, Tanger 90000",Chez MLK beauté SPA - Hammam- Massage- 100% Femmes,N/A,S'identifie comme géré par une femme,"4,8",https://lh3.googleusercontent.com/p/AF1QipNt9MY6JHZVmBR43fzxlx8JmlLyLYBWMFdq-U8k|https://lh3.googleusercontent.com/p/AF1QipNaXX5zYPKDa9IsyoYmzqlP68FGa-dhiHaS7pEg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyaOadg8bHmMOstoopwYdtTWbD4-nM8m6ccih38muF8tg6HP7i5Fv8jfx016E4MWPcV-vq6kxadu1eHj1QGn5vtvrvUgUEZcq9f5liMf1ov95BqtjaV-0UrS-UREGIPLSFlbJ8Uojgd53KC|https://lh3.googleusercontent.com/p/AF1QipPIQttjd4Loe8B33eg60xr9WGXPJ3KQxgX6H8ZI|https://lh3.googleusercontent.com/p/AF1QipMccRTNuzJeZXAQIIZNSkZqG_C1gt_CXwS2MYky|https://lh3.googleusercontent.com/p/AF1QipOc53Otkd-MWxdKCdxa-VMmrJH86NUKjeNMVj2z|https://lh3.googleusercontent.com/p/AF1QipNwKdXj_sDpMCGyluKUdzOsoiKRKDzPce2q1YRi|https://lh3.googleusercontent.com/p/AF1QipOtkpz9hBvT-KUj0tzAqN-H6z7lIeU9r_rf7H7W|https://lh3.googleusercontent.com/p/AF1QipMnji62GQfqPz3PG_EArf1okXqvbfKwp9rv9T3V|https://lh3.googleusercontent.com/p/AF1QipMoY4CBf3_cc9Nq81mjFX2BRAGiw73Z2HOXDD0N|https://lh3.googleusercontent.com/p/AF1QipPHUYecsbmA-pJkLicysEGycS4D1TrnxjXt-rqM|https://lh3.googleusercontent.com/p/AF1QipMXvE0vOWpDVzU-0CVfrYxfGZsTZGvhqbLDc8qg|https://lh3.googleusercontent.com/p/AF1QipMTz_DoZTx6WNLLCCJ5pAniL1ijCo8iD0BAyt2C|https://lh3.googleusercontent.com/p/AF1QipOINXvPvBA-TApmOTnjXdk1ThQo3XtcR5_d2MIC|https://lh3.googleusercontent.com/p/AF1QipOHiYlpgq-qzeXUDiD8UWtTsk3hm2hn7cnzHLnB|https://lh3.googleusercontent.com/p/AF1QipNNF8hudbiZD0GPtfb5DqpV72F3oBR5MSjq2dlf|https://lh3.googleusercontent.com/p/AF1QipMc63SfF36PJR5XaLjR-_EQ3mRYXgvsVdTZp_uA|https://lh3.googleusercontent.com/p/AF1QipOwYqfHiTqgnwe--GnZDDCViXbLbuVybx3x_-xo|https://lh3.googleusercontent.com/p/AF1QipMWdKsAN9m5DdtplXtMDDFDPfaHwP_8x_YYIMKx|https://lh3.googleusercontent.com/p/AF1QipP3ZFwwyOaGBIx7M-143kVX41nNn_54Yi1LxerW,0662-733219,https://lh3.googleusercontent.com/p/AF1QipNt9MY6JHZVmBR43fzxlx8JmlLyLYBWMFdq-U8k
"Clinique Assalam et Café Lahaye, Bd.Abi Hassan chadli, Résidence Rania, 1 Derrière, Tanger 90000",MedaySpa,https://www.medayspa.com/,S'identifie comme géré par une femme,"4,4",https://lh3.googleusercontent.com/p/AF1QipMqe3v1bZ_vHR52-mSKwBpzQDHd4FTpyX3xmnfg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz_SXc6UjNOl1d7R3XvV_FDMuFrTP7fharpN_WI-xROUbiNZq7yLYRORbGyQ0swSPMFizDD_aHqbxZ60J0us8WIOqQ5F_ufZY8XYIDok7r7cnB9zob4-RIIjQxn4RQBnJXrSrea_Q|https://lh3.googleusercontent.com/p/AF1QipMcmUTXH8JNiV-9S3pqC_GyQfqHrOe8jQtIJjTq|https://lh3.googleusercontent.com/p/AF1QipNnKieRV-pC0ia0M6oKzh2aBfQg76W7IhWY7WiC|https://lh3.googleusercontent.com/p/AF1QipOAcZCHHRmmbkrwSLCYUxv5cOfA2qHaJrKk_nqf|https://lh3.googleusercontent.com/p/AF1QipMSmtJp-ZbNOf5UOChwrrd1E4OSH7BJ2e4fFcN3|https://lh3.googleusercontent.com/p/AF1QipM7cUddcOlJi3k5rOvPKZeyP2wSaCwftSMC8bux|https://lh3.googleusercontent.com/p/AF1QipM8BUGgqjMNSaD60TIKrWF0VyQnFuSkhnjV6d7M|https://lh3.googleusercontent.com/p/AF1QipOn21pAM-tbjUCrVpcsNOpDCMcGxksNAQHWpRus|https://lh3.googleusercontent.com/p/AF1QipMm6o5a2k5ZpJ4FE5iTqFqppmSekTsLFDkgOgOm|https://lh3.googleusercontent.com/p/AF1QipNCxLyuWzaUcYNj6M8JOLS3na7L2opBq-S1p7b8|https://lh3.googleusercontent.com/p/AF1QipMagMkITsMukXyj-_fch-VT41-Xm6gCBPCyr20U|https://lh3.googleusercontent.com/p/AF1QipM01yG4dbsxWsqPCugEzUeB54VqEfJE2VcFagKK|https://lh3.googleusercontent.com/p/AF1QipOsp4UtDIIa6ZNJNOwYXkfZwxB1TzsRgJ4XmEB0|https://lh3.googleusercontent.com/p/AF1QipPGnZwoXOqyrWR7_nuwdJQQQheL2c4hF6puEXZw|https://lh3.googleusercontent.com/p/AF1QipPC7Qeu_Mud_J53aoqWXnsZ4rv3hbNp5jau-Ebv|https://lh3.googleusercontent.com/p/AF1QipOjCFNDeYxmbZtUMN-FHdA5crODZG9ETfFoJpFs|https://lh3.googleusercontent.com/p/AF1QipMbQZSLuctsVZ_HN_vOJOdPj9rY2RZByptSU6Y1|https://lh3.googleusercontent.com/p/AF1QipNtA86oFViLIvp_7pxekyM_vv5nmC7ZcIeP4HeQ|https://lh3.googleusercontent.com/p/AF1QipN3sfMTRukNyGGPy0pnHhQZLHuykgldbNxjrzTP,0689-679328,https://lh3.googleusercontent.com/p/AF1QipMqe3v1bZ_vHR52-mSKwBpzQDHd4FTpyX3xmnfg
